t,A,B,C
-0.0585,0.0627905195293122,-0.895711760239412,0.8329212407101
-0.0584,0.0251300954433351,-0.878316951402656,0.853186855959321
-0.0583,-0.0125660398833527,-0.85967400611749,0.872240046000843
-0.0582,-0.0502443181797708,-0.839809417029282,0.890053735209053
-0.0581,-0.0878511965507421,-0.818751412806095,0.906602609356837
-0.058,-0.125333233564304,-0.796529918024195,0.9218631515885
-0.0579,-0.162637165194885,-0.773176510643606,0.935813675838491
-0.0578,-0.19970998051441,-0.748724377134084,0.948434357648494
-0.0577,-0.236498997023728,-0.723208265315339,0.959707262339067
-0.0576,-0.272951935517327,-0.696664434978479,0.969616370495806
-0.0575,-0.30901699437495,-0.669130606358855,0.978147600733806
-0.0574,-0.344642923174517,-0.64064590653356,0.985288829708078
-0.0573,-0.379779095521803,-0.61125081381969,0.991029909341493
-0.0572,-0.414375580993287,-0.580987100252457,0.995362681245744
-0.0571,-0.448383216090033,-0.549897772224839,0.998280988314872
-0.057,-0.481753674101717,-0.518027009373128,0.999780683474845
-0.0569,-0.514439533781506,-0.485420101795274,0.99985963557678
-0.0568,-0.546394346734269,-0.452123385691149,0.99851773242542
-0.0567,-0.577572703422269,-0.418184177516299,0.995756880938569
-0.0566,-0.607930297694605,-0.383650706742656,0.991581004437262
-0.0565,-0.63742398974869,-0.348572047321814,0.985996037070505
-0.0564,-0.666011867434253,-0.312998047948276,0.97900991538253
-0.0563,-0.693653305812807,-0.276979261221719,0.970632567034527
-0.0562,-0.720309024887907,-0.24056687180899,0.960875896696899
-0.0561,-0.745941145424183,-0.203812623707882,0.949753769132067
-0.056,-0.770513242775791,-0.166768746716098,0.937281989491891
-0.0559,-0.793990398647836,-0.129487882209845,0.923478280857682
-0.0558,-0.816339250717185,-0.0920230083375442,0.908362259054731
-0.0557,-0.837528040042141,-0.0544273647350085,0.891955404777152
-0.0556,-0.857526656193653,-0.0167543768689796,0.874281033062634
-0.0555,-0.876306680043864,0.0209424198833599,0.855364260160506
-0.0554,-0.893841424151264,0.0586094563110971,0.835231967840168
