All calculations;Line 5;Line 5;Line 5
"Time in s";"Phase Current A/Terminal j in kA";"Phase Current B/Terminal j in kA";"Phase Current C/Terminal j in kA"
0,034318;0,776207;0,582843;-1,359050
0,034418;0,665059;0,613047;-1,278106
0,034518;0,581558;0,645080;-1,226638
0,034618;0,540769;0,683785;-1,224554
0,034718;0,525807;0,727584;-1,253392
0,034818;0,499192;0,769323;-1,268515
0,034918;0,429224;0,801125;-1,230349
0,035018;0,312546;0,819811;-1,132357
0,035118;0,176901;0,829052;-1,005954
0,035218;0,062285;0,836783;-0,899068
0,035318;-0,006038;0,849764;-0,843726
0,035418;-0,033688;0,869131;-0,835443
0,035518;-0,051539;0,890004;-0,838465
0,035618;-0,092932;0,905285;-0,812353
0,035718;-0,170297;0,910810;-0,740513
0,035818;-0,267691;0,908167;-0,640477
0,035918;-0,353963;0,903245;-0,549282
0,036018;-0,406443;0,901693;-0,495250
0,036118;-0,427739;0,904660;-0,476921
0,036218;-0,443621;0,907912;-0,464291
0,036318;-0,483815;0,904928;-0,421113
0,036418;-0,559862;0,891694;-0,331833
0,036518;-0,656171;0,869715;-0,213544
0,036618;-0,740725;0,845054;-0,104330
0,036718;-0,787716;0,824101;-0,036384
0,036818;-0,795896;0,809081;-0,013184
0,036918;-0,789573;0,796509;-0,006937
0,037018;-0,801649;0,779643;0,022006
0,037118;-0,850825;0,753181;0,097645
0,037218;-0,929016;0,716868;0,212147
0,037318;-1,007593;0,675536;0,332057
0,037418;-1,057639;0,635625;0,422014
0,037518;-1,069650;0,600745;0,468905
0,037618;-1,058932;0,569405;0,489527
0,037718;-1,053409;0,536439;0,516969
0,037818;-1,073106;0,496967;0,576140
0,037918;-1,116244;0,449963;0,666281
0,038018;-1,161692;0,398881;0,762811
0,038118;-1,185567;0,348940;0,836627
0,038218;-1,179556;0,303122;0,876434
0,038318;-1,157532;0,259837;0,897695
0,038418;-1,145657;0,213962;0,931695
0,038518;-1,163175;0,160527;1,002648
0,038618;-1,207794;0,098394;1,109399
0,038718;-1,256238;0,031299;1,224939
0,038818;-1,279668;-0,034501;1,314170
0,038918;-1,263094;-0,094323;1,357417
0,039018;-1,215203;-0,148022;1,363225
0,039118;-1,161907;-0,199809;1,361716
0,039218;-1,128450;-0,255138;1,383588
0,039318;-1,122793;-0,316906;1,439699
0,039418;-1,131748;-0,383652;1,515400
0,039518;-1,132007;-0,450917;1,582924
0,039618;-1,107656;-0,514652;1,622308
0,039718;-1,061420;-0,574173;1,635593
0,039818;-1,011799;-0,632510;1,644309
0,039918;-0,978582;-0,693983;1,672565
0,040018;-0,967600;-0,760819;1,728419
0,040118;-0,965924;-0,831307;1,797231
0,040218;-0,950991;-0,900856;1,851847
0,040318;-0,907014;-0,965185;1,872199
0,040418;-0,836774;-1,023356;1,860131
0,040518;-0,760254;-1,078473;1,838727
0,040618;-0,701014;-1,135523;1,836537
0,040718;-0,669963;-1,197901;1,867864
0,040818;-0,657941;-1,265051;1,922992
0,040918;-0,642220;-1,332851;1,975071
0,041018;-0,602179;-1,396424;1,998603
0,041118;-0,533062;-1,453369;1,986431
0,041218;-0,448367;-1,505151;1,953519
0,041318;-0,369611;-1,555772;1,925383
0,041418;-0,311112;-1,608760;1,919872
0,041518;-0,270718;-1,664683;1,935401
0,041618;-0,232760;-1,720932;1,953693
0,041718;-0,180639;-1,773841;1,954480
0,041818;-0,109555;-1,821518;1,931073
0,041918;-0,030066;-1,865289;1,895355
0,042018;0,040024;-1,908689;1,868665
0,042118;0,089390;-1,954749;1,865359
0,042218;0,122412;-2,003554;1,881142
0,042318;0,157064;-2,051872;1,894808
0,042418;0,212821;-2,095159;1,882338
0,042518;0,297097;-2,130540;1,833443
0,042618;0,399794;-2,158696;1,758903
0,042718;0,499777;-2,183348;1,683571
0,042818;0,578688;-2,208722;1,630034
0,042918;0,632476;-2,236798;1,604322
0,043018;0,672817;-2,266215;1,593398
0,043118;0,717884;-2,293515;1,575631
0,043218;0,779322;-2,315736;1,536414
0,043318;0,854750;-2,332464;1,477714
0,043418;0,930781;-2,345902;1,415121
0,043518;0,993926;-2,358998;1,365073
0,043618;1,041127;-2,373065;1,331938
0,043718;1,082188;-2,386665;1,304477
0,043818;1,132406;-2,396588;1,264181
0,043918;1,200897;-2,400190;1,199293
0,044018;1,283229;-2,397405;1,114176
0,044118;1,363819;-2,390924;1,027105
0,044218;1,426498;-2,384414;0,957916
0,044318;1,465760;-2,380004;0,914244
0,044418;1,490721;-2,376811;0,886089
0,044518;1,518986;-2,371541;0,852555
0,044618;1,564750;-2,360724;0,795973
0,044718;1,629451;-2,343006;0,713555
0,044818;1,701332;-2,319944;0,618611
0,044918;1,763944;-2,294785;0,530841
0,045018;1,807370;-2,270188;0,462817
0,045118;1,834278;-2,246497;0,412218
0,045218;1,856829;-2,221767;0,364938
0,045318;1,887085;-2,193419;0,306334
0,045418;1,928102;-2,160266;0,232164
0,045518;1,972136;-2,123401;0,151266
0,045618;2,007075;-2,085327;0,078252
0,045718;2,026182;-2,047985;0,021803
0,045818;2,033848;-2,011162;-0,022686
0,045918;2,043037;-1,972466;-0,070572
0,046018;2,066159;-1,928930;-0,137229
0,046118;2,105886;-1,879120;-0,226766
0,046218;2,152535;-1,824252;-0,328283
0,046318;2,189969;-1,767526;-0,422443
0,046418;2,205970;-1,712130;-0,493840
0,046518;2,199916;-1,659290;-0,540626
0,046618;2,182583;-1,607693;-0,574890
0,046718;2,168445;-1,554613;-0,613832
0,046818;2,166035;-1,497894;-0,668141
0,046918;2,173066;-1,437372;-0,735694
0,047018;2,179415;-1,374782;-0,804633
0,047118;2,175410;-1,312303;-0,863106
0,047218;2,159200;-1,250870;-0,908330
0,047318;2,137871;-1,189491;-0,948380
0,047418;2,121683;-1,126075;-0,995609
0,047518;2,115840;-1,059122;-1,056718
0,047618;2,115954;-0,989027;-1,126927
0,047718;2,110633;-0,918005;-1,192628
0,047818;2,089411;-0,848685;-1,240726
0,047918;2,050327;-0,782339;-1,267988
0,048018;2,001704;-0,718022;-1,283682
0,048118;1,956773;-0,653234;-1,303539
0,048218;1,924875;-0,585645;-1,339231
0,048318;1,905353;-0,514684;-1,390669
0,048418;1,888306;-0,441909;-1,446397
0,048518;1,861532;-0,369937;-1,491595
0,048618;1,818702;-0,300713;-1,517989
0,048718;1,763109;-0,234354;-1,528755
0,048818;1,704625;-0,169313;-1,535312
0,048918;1,652333;-0,103692;-1,548641
0,049018;1,608265;-0,036707;-1,571558
0,049118;1,566646;0,030767;-1,597413
0,049218;1,518966;0,096920;-1,615886
0,049318;1,460928;0,160433;-1,621361
0,049418;1,396064;0,221527;-1,617591
0,049518;1,333323;0,281837;-1,615160
0,049618;1,280382;0,343192;-1,623574
0,049718;1,237571;0,406173;-1,643744
0,049818;1,196903;0,469493;-1,666396
0,049918;1,147049;0,530676;-1,677724
