"Time in s";"Phase Current A/Terminal j in kA";"Phase Current B/Terminal j in kA";"Phase Current C/Terminal j in kA";"Phase Voltage B/Terminal j in p.u.";"Phase Voltage C/Terminal j in p.u.";"Phase Voltage A/Terminal j in p.u."
-0,086400;-0,082627;-0,129380;0,212007;0,776636;-0,951262;0,174626
-0,086300;-0,075139;-0,135700;0,210839;0,800584;-0,937486;0,136902
-0,086200;-0,067545;-0,141826;0,209371;0,823395;-0,922377;0,098982
-0,086100;-0,059855;-0,147752;0,207607;0,845035;-0,905957;0,060922
-0,086000;-0,052080;-0,153467;0,205547;0,865474;-0,888251;0,022776
-0,085900;-0,044231;-0,158964;0,203195;0,884684;-0,869282;-0,015402
-0,085800;-0,036319;-0,164235;0,200554;0,902636;-0,849077;-0,053559
-0,085700;-0,028356;-0,169272;0,197629;0,919306;-0,827667;-0,091639
-0,085600;-0,020353;-0,174070;0,194422;0,934669;-0,805080;-0,129589
-0,085500;-0,012320;-0,178619;0,190939;0,948703;-0,781349;-0,167354
-0,085400;-0,004270;-0,182916;0,187185;0,961390;-0,756508;-0,204882
-0,085300;0,003786;-0,186952;0,183165;0,972710;-0,730592;-0,242118
-0,085200;0,011837;-0,190722;0,178885;0,982648;-0,703638;-0,279011
-0,085100;0,019872;-0,194222;0,174350;0,991190;-0,675684;-0,315506
-0,085000;0,027878;-0,197445;0,169568;0,998323;-0,646770;-0,351553
-0,084900;0,035844;-0,200388;0,164545;1,004037;-0,616937;-0,387101
-0,084800;0,043759;-0,203046;0,159288;1,008325;-0,586227;-0,422098
-0,084700;0,051612;-0,205416;0,153804;1,011180;-0,554684;-0,456496
-0,084600;0,059391;-0,207494;0,148103;1,012598;-0,522353;-0,490245
-0,084500;0,067086;-0,209276;0,142190;1,012577;-0,489280;-0,523297
-0,084400;0,074686;-0,210762;0,136076;1,011117;-0,455511;-0,555606
-0,084300;0,082179;-0,211948;0,129769;1,008220;-0,421095;-0,587125
-0,084200;0,089556;-0,212833;0,123276;1,003891;-0,386081;-0,617810
